Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
New York Mets,.328,110,.302,.151,2.7%,19.9%,8.0%,87.6,36.8%,24.2%,44.3%,24.4%,0.81,29.1%,52.2%,18.7%,4.3,3.7%,41.9,33%,71%,40%
New York Yankees,.339,118,.273,.194,4.3%,22.2%,10.2%,89.6,42.8%,23.5%,40.5%,28.0%,0.69,29.5%,51.3%,19.2%,1.2,1.5%,60.9,32%,76%,37%
Oakland Athletics,.282,82,.261,.131,2.4%,23.2%,7.3%,87.3,35.1%,22.4%,44.4%,24.8%,0.82,28.6%,51.9%,19.5%,-14.8,-3.2%,-127.6,28%,76%,48%
Philadelphia Phillies,.326,102,.294,.170,3.5%,22.5%,7.8%,88.8,41.1%,23.6%,42.2%,26.1%,0.74,28.7%,51.1%,20.2%,1.5,-0.3%,12.2,32%,84%,41%
Pittsburgh Pirates,.292,81,.274,.142,2.7%,25.6%,8.0%,87.8,37.8%,23.0%,43.5%,25.8%,0.79,30.0%,52.8%,17.3%,-10.3,-2.4%,-108.7,28%,70%,43%
San Diego Padres,.314,105,.292,.139,2.3%,21.4%,9.4%,87.4,36.8%,23.2%,42.8%,25.3%,0.76,31.7%,49.8%,18.5%,0.1,-0.3%,5.5,32%,66%,44%
Seattle Mariners,.315,106,.277,.151,3.0%,22.7%,9.6%,87.6,35.8%,23.6%,40.5%,27.0%,0.69,30.3%,52.6%,17.2%,-4.4,-2.3%,-37.6,28%,75%,36%
San Francisco Giants,.321,101,.281,.161,3.1%,23.0%,9.6%,87.6,37.4%,22.4%,39.4%,29.1%,0.66,30.6%,51.0%,18.4%,-1.4,-1.3%,8.4,31%,84%,36%
St. Louis Cardinals,.331,115,.294,.164,3.1%,20.4%,8.6%,87.9,36.7%,23.5%,40.7%,26.8%,0.69,30.5%,52.1%,17.5%,0.4,-0.6%,39.4,32%,79%,47%
Tampa Bay Rays,.305,100,.295,.139,2.4%,24.0%,8.4%,88.7,39.0%,25.2%,44.3%,22.2%,0.80,29.3%,51.8%,19.0%,-4.3,-2.7%,-43.5,31%,69%,45%
Texas Rangers,.313,100,.289,.154,3.2%,23.5%,7.8%,88.5,39.4%,23.3%,40.3%,27.2%,0.68,30.7%,52.2%,17.1%,-3.5,-1.6%,-18.4,32%,76%,44%
Toronto Blue Jays,.334,115,.304,.169,3.4%,20.6%,7.7%,90.1,44.8%,23.9%,44.5%,23.6%,0.81,28.0%,52.6%,19.5%,0.0,-0.2%,15.2,31%,67%,41%
Washington Nationals,.310,100,.293,.127,2.2%,19.8%,7.9%,86.6,35.5%,24.6%,45.5%,21.9%,0.86,30.3%,51.1%,18.6%,-9.1,-1.5%,-83.7,27%,71%,37%
